Scenario,default,SA_Upgrading_WaterScrubbing,SA_Upgrading_ChemicalScrubbing,SA_Upgrading_Membrane,SA_Upgrading_PSA
Biomethane,1.80753799089669,1.8808351425825884,1.7147581295251448,1.6982160253954177,2.048936713407803
Biomethane + CCS Upgrading + CCS Syngas,-0.7387020270405988,-0.6524568904751404,-0.8703497844072154,-0.8358269917205026,-0.45810368620503406
Biomethane + CCS Upgrading + CCS Syngas + CCS Heating,-1.1767838827560348,-1.0905387461864708,-1.3084316401229281,-1.2739088474412426,-0.8961855419227153
Biomethane + CCS Syngas,0.4870039531694522,0.5603011048589939,0.39422409180067525,0.3776819876753112,0.7284026756825495
Biomethane + CCS Upgrading,0.5818320106889331,0.6680771472525816,0.4501842533179156,0.4847070460019058,0.8624303515181806
Biomethane + CCS Syngas + CCS Heating,0.0489220974529327,0.12221924914059243,-0.04385776391585572,-0.06039986804832172,0.29032081996388553
