,Natural gas,Natural gas + CCS Syngas,Natural gas + CCS Syngas + CCS Heating,Green H2,Biomethane,Biomethane + CCS Syngas,Biomethane + CCS Syngas + CCS Heating,Biomethane + CCS Upgrading,Biomethane + CCS Upgrading + CCS Syngas,Biomethane + CCS Upgrading + CCS Syngas + CCS Heating
Direct emissions,1.41735235689159,0.01643935401343135,0.01643935401343135,0.008437,1.41735235689159,0.01643935401343135,0.01643935401343135,1.41735235689159,0.01643935401343135,0.01643935401343135
Feedstock supply chain,0.3643261113514071,0.3643261113514071,0.3643261113514071,0.15706886832518024,-0.2270191933580554,-0.2270191933580554,-0.2270191933580554,-1.0590949436323909,-1.0590949436323909,-1.0590949436323909
Heating,0.7544997304188111,0.7544997304188111,0.3133169158466707,0.0,0.4676836047300949,0.4676836047300949,0.029601742545117576,0.07405335710882677,0.07405335710882677,-0.3640285050750781
Electricity from grid,0.08387802086954738,0.15919755410439415,0.15919755410439415,0.0498782669563353,0.08387802086954738,0.15919755410439415,0.15919755410439415,0.08387802086954738,0.15919755410439415,0.15919755410439415
Other,0.06564322442465628,0.070702639919513,0.070702639919513,0.06538528530916926,0.06564322442465628,0.070702639919513,0.070702639919513,0.06564322442465628,0.070702639919513,0.070702639919513
Total,2.685699399826464,1.3651653621049367,0.9239825540571234,0.28076941938378636,1.8075379949004788,0.48700395717592804,0.04892210145456921,0.5818320326304507,-0.7387020050962206,-1.1767838608153696
