Scenario,activity,parameter,param default,param plus 20,param minus 20,lca default,lca plus 20,lca minus 20,sensitivity ratio
58,"anaerobic digestion of animal manure, with biogenic carbon uptake","Carbon dioxide, in air",2.4445550475,2.933466057,1.9556440380000002,-1.1767840127127882,-1.4413692466129375,-0.9121987788126383,1.1241877483116594
132,"ammonia production, liquid, bio-ammonia from biomethane w/ CCS, syngas w/ CCS, heating w/ CCS","market for biomethane, 24 bar w/ CCS",0.6101095299008633,0.7321314358810359,0.48808762392069066,-1.1767840127127882,-1.3886030150699793,-0.9649650103518569,0.8999909927003694
107,"anaerobic digestion of agricultural residues, with biogenic carbon uptake","Carbon dioxide, in air",2.4445550475,2.933466057,1.9556440380000002,-1.1767840127127882,-1.3752229324087701,-0.9783450930168062,0.8431407868914262
40,"anaerobic digestion of sequential crop, with biogenic carbon uptake","Carbon dioxide, in air",2.4445550475,2.933466057,1.9556440380000002,-1.1767840127127882,-1.3504180674467725,-1.003149957978804,0.7377481885299981
91,"biogas upgrading to biomethane, water scrubbing w/ CCS","market for biogas, sustainable feedstocks",1.7357894736842108,2.0829473684210527,1.3886315789473687,-1.1767840127127882,-1.3172244223580398,-1.0363436030630555,0.5967127702718409
25,"biogas upgrading to biomethane, chemical scrubbing w/ CCS","market for biogas, sustainable feedstocks",1.738578947368421,2.086294736842105,1.3908631578947368,-1.1767840127127882,-1.3127612492070089,-1.0408067762173943,0.5777493364366201
63,"biogas upgrading to biomethane, membrane w/ CCS","market for biogas, sustainable feedstocks",1.7187719298245616,2.0625263157894738,1.3750175438596495,-1.1767840127127882,-1.278763946300642,-1.074804079125986,0.4332992821352074
11,"heat production, at industrial furnace >100kW, biomethane w/ CCS, heating w/ CCS","market for biomethane, 24 bar w/ CCS",0.028987145844515984,0.03478457501341918,0.023189716675612787,-1.1767840127127882,-1.2769892747925802,-1.0765787506271727,0.42575893706995976
133,"ammonia production, liquid, bio-ammonia from biomethane w/ CCS, syngas w/ CCS, heating w/ CCS","heat production, at industrial furnace >100kW, biomethane w/ CCS, heating w/ CCS",9.95698752798209,11.948385033578507,7.965590022385673,-1.1767840127127882,-1.2495897225419987,-1.1039783028781847,0.3093418547727857
71,"treatment of industrial wastewater by anaerobic digestion, cut-off with biogenic carbon uptake","Carbon dioxide, in air",1.9826074999999996,2.3791289999999994,1.5860859999999999,-1.1767840127127882,-1.2371364822067,-1.1164315432188765,0.256429679711504
112,"biogas upgrading to biomethane, pressure swing adsorption w/ CCS","market for biogas, sustainable feedstocks",1.7347368421052634,2.081684210526316,1.3877894736842107,-1.1767840127127882,-1.2329261097622088,-1.1206419156624081,0.23854036273180865
21,"treatment of biowaste by anaerobic digestion, cut-off with biogenic carbon uptake","Carbon dioxide, in air",1.9826074999999996,2.3791289999999994,1.5860859999999999,-1.1767840127127882,-1.21031316398046,-1.1432548614451163,0.1424609397538407
98,"treatment of sewage sludge by anaerobic digestion, cut-off with biogenic carbon uptake","Carbon dioxide, in air",1.9826074999999996,2.3791289999999994,1.5860859999999999,-1.1767840127127882,-1.190195672987532,-1.1633723524380444,0.05698437491441836
87,"heat production, at industrial furnace >100kW, natural gas, heating","Methane, fossil",2.10526315789474e-06,2.5263157894736878e-06,1.684210526315792e-06,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
86,"heat production, at industrial furnace >100kW, natural gas, heating","Carbon monoxide, fossil",2.21052631578948e-06,2.652631578947376e-06,1.7684210526315842e-06,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
47,"heat production, at industrial furnace >100kW, biomethane w/ CCS","industrial furnace production, natural gas",2.94736842105264e-09,3.536842105263168e-09,2.3578947368421123e-09,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
48,"heat production, at industrial furnace >100kW, biomethane w/ CCS","Carbon dioxide, non-fossil",0.05716816996088573,0.06860180395306287,0.045734535968708585,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
49,"heat production, at industrial furnace >100kW, biomethane w/ CCS","Carbon monoxide, non-fossil",2.21052631578948e-06,2.652631578947376e-06,1.7684210526315842e-06,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
50,"heat production, at industrial furnace >100kW, biomethane w/ CCS","Methane, non-fossil",2.8260908749698655e-06,3.3913090499638385e-06,2.2608726999758925e-06,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
51,"heat production, at industrial furnace >100kW, biomethane w/ CCS",Dinitrogen monoxide,1.05263157894737e-07,1.263157894736844e-07,8.42105263157896e-08,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
52,"heat production, at industrial furnace >100kW, biomethane w/ CCS",Butane,7.36842105263159e-07,8.842105263157907e-07,5.894736842105273e-07,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
53,"heat production, at industrial furnace >100kW, biomethane w/ CCS",Propane,2.10526315789474e-07,2.526315789473688e-07,1.684210526315792e-07,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
90,"heat production, at industrial furnace >100kW, natural gas, heating",Propane,2.10526315789474e-07,2.526315789473688e-07,1.684210526315792e-07,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
89,"heat production, at industrial furnace >100kW, natural gas, heating",Butane,7.36842105263159e-07,8.842105263157907e-07,5.894736842105273e-07,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
