Scenario,default,SA_Methane_Leakage_1.1,SA_Methane_Leakage_1.2,SA_Methane_Leakage_1.3,SA_Methane_Leakage_1.4,SA_Methane_Leakage_1.5,SA_Methane_Leakage_1.6,SA_Methane_Leakage_1.7,SA_Methane_Leakage_1.8,SA_Methane_Leakage_1.9,SA_Methane_Leakage_2.0,SA_Methane_Leakage_2.1,SA_Methane_Leakage_2.2,SA_Methane_Leakage_2.3,SA_Methane_Leakage_2.4,SA_Methane_Leakage_2.5,SA_Methane_Leakage_2.6,SA_Methane_Leakage_2.7,SA_Methane_Leakage_2.8,SA_Methane_Leakage_2.9,SA_Methane_Leakage_3.0
Biomethane + CCS Upgrading,0.5779171910551213,0.6638373493568867,0.7503694480607629,0.837514815715292,0.9252747808574384,1.0136506720321161,1.1026438177808413,1.192255546648957,1.2824871871753813,1.373340067905632,1.464815517379752,1.5569148641404877,1.649639436733425,1.7429905636941907,1.8369695735751792,1.9315777949103565,2.0268165562442912,2.122687186121038,2.219191013084096,2.316329365674691,2.414103572434866
Biomethane,1.8036231597746177,1.8894202135700398,1.9758225009681059,2.0628313505244704,2.1504480907679078,2.2386740502569884,2.3275105575190977,2.416958941098465,2.507020529547669,2.5976966513999393,2.6889886352021755,2.7808978094984536,2.8734255028283138,2.966573043732584,3.06034176075604,3.154732982444642,3.249748037333327,3.3453882539677404,3.441654960892028,3.5385494866470624,3.636073159776092
Biomethane + CCS Syngas,0.48308912204789356,0.5688861758445367,0.6552884632500546,0.7422973127979979,0.8299140530482697,0.9181400125284712,1.006976519790969,1.0964249033771065,1.1864864918228957,1.277162613677329,1.3684545974765583,1.460363771778742,1.5528914651033712,1.6460390060076329,1.7398077230359215,1.834198944719149,1.9292139996067565,2.024854216246259,2.121120923164771,2.2180154489272184,2.3155391220524395
Biomethane + CCS Upgrading + CCS Syngas + CCS Heating,-1.1806987023849407,-1.0947785440880802,-1.0082464453786015,-0.9211010777237015,-0.8333411125819866,-0.7449652214075058,-0.6559720756611449,-0.566360346790938,-0.4761287062684372,-0.3852758255371015,-0.29380037605687553,-0.2017010293008862,-0.10897645671062721,-0.015625329745974942,0.07835368013254729,0.17296190146771873,0.26820066280938715,0.3640712926754838,0.46057511964358366,0.5577134722337275,0.6554876789962897
Biomethane + CCS Syngas + CCS Heating,0.04500726633403797,0.13080432012909662,0.21720660752710697,0.30421545708387526,0.39183219733449237,0.4800581568139222,0.5688946640777127,0.6583430476564243,0.7484046361089258,0.8390807579611264,0.9303727417664451,1.0222819160578465,1.1148096093859308,1.2079571502942772,1.3017258673186762,1.396117089002221,1.4911321438912264,1.5867723605222652,1.6830390674495117,1.7799335932077776,1.8774572663357039
Biomethane + CCS Upgrading + CCS Syngas,-0.7426168466669834,-0.6566966883670882,-0.5701645896618434,-0.48301922200556097,-0.3952592568656082,-0.3068833656896277,-0.21789021994459057,-0.12827849107422223,-0.03804685054435434,0.052806030180499126,0.14428147965489252,0.23638082641992872,0.32910539900510455,0.4224565259703304,0.5164355358490935,0.6110437571865734,0.7062825185197235,0.8021531484000344,0.8986569753613289,0.9957953279513085,1.0935695347129724
