,Total
Natural gas,30.332687915143445
Natural gas + CCS Syngas,15.418380360798562
Natural gas + CCS Syngas + CCS Heating,10.435596200029993
Green H2,3.1710515237984973
Biomethane,20.414602578986702
Biomethane + CCS Syngas,5.500295024607671
Biomethane + CCS Syngas + CCS Heating,0.5525334799830233
Biomethane + CCS Upgrading,6.571297393130957
Biomethane + CCS Upgrading + CCS Syngas,-8.343010161272023
Biomethane + CCS Upgrading + CCS Syngas + CCS Heating,-13.290771705871713
